Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount,date
Hot Dog & Soda,9,0.0,0.0,0.0,0.0,2023-07-09
Bottled Water,9,20.34,0.0,20.34,2.16,2023-07-09
Cheeseburger,5,36.05,0.0,36.05,3.95,2023-07-09
Hot Dog,18,59.15,1.69,60.84,6.47,2023-07-09
Popcorn,1,3.61,0.0,3.61,0.39,2023-07-09
Italian Sausage w/ Peppers & Onions,4,28.84,0.0,28.84,3.16,2023-07-09
Deep River Chips,3,8.13,0.0,8.13,0.87,2023-07-09
Philly Cheesesteak,16,144.16,0.0,144.16,15.84,2023-07-09
Powerade,5,15.8,0.0,15.8,1.7,2023-07-09
Cracker Jacks,8,36.08,0.0,36.08,3.92,2023-07-09
Bottled Soda,107,336.22,1.58,337.8,36.53,2023-07-09
Deep River Chips,31,84.01,0.0,84.01,8.99,2023-07-09
Hot Dog & Soda,8,0.0,0.0,0.0,0.0,2023-07-09
Whole Pickle,3,8.11,0.0,8.11,0.89,2023-07-09
Peanuts,12,41.51,1.81,43.32,4.49,2023-07-09
Italian Sausage w/ Peppers & Onions,15,108.14,0.0,108.14,11.86,2023-07-09
Cotton Candy,9,32.48,0.0,32.48,3.52,2023-07-09
Lemon Sorbet,7,25.26,0.0,25.26,2.74,2023-07-09
Hot Dog,96,309.26,15.17,324.43,33.86,2023-07-09
Cedrata Italian Soda,4,16.24,0.0,16.24,1.76,2023-07-09
1/2 Pep.  1/2 Shroom,1,12.62,0.0,12.62,1.38,2023-07-09
Mushroom Pizza,9,113.58,0.0,113.58,12.42,2023-07-09
Emp chz,7,37.8,0.0,37.8,4.2,2023-07-09
VLM Tote Bag,2,10.0,0.0,10.0,1.1,2023-07-09
VT Expos Sticker,1,2.0,0.0,2.0,0.22,2023-07-09
Sorry Baseball tee,1,26.99,0.0,26.99,0.0,2023-07-09
Fiddlehead IPA DFT,73,521.95,0.0,521.95,62.05,2023-07-09
Barefoot Chardonnay,7,50.05,0.0,50.05,5.95,2023-07-09
Popcorn,8,28.88,0.0,28.88,3.12,2023-07-09
Rescue Club Pils N/A,1,7.21,0.0,7.21,0.79,2023-07-09
von Trapp Helles DFT,5,35.75,0.0,35.75,4.25,2023-07-09
Good Measure Cream Ale DFT,5,26.8,0.0,26.8,3.2,2023-07-09
Kona Golden Ale DFT,5,26.8,0.0,26.8,3.2,2023-07-09
Budweiser DFT,5,26.8,0.0,26.8,3.2,2023-07-09
Citizen Cider DFT,19,135.85,0.0,135.85,16.15,2023-07-09
Peanuts,2,7.22,0.0,7.22,0.78,2023-07-09
ZG Lake Monster Light DFT,37,198.32,0.0,198.32,23.68,2023-07-09
White Claw Mango,3,21.45,0.0,21.45,2.55,2023-07-09
ZG Conehead IPA DFT,24,171.6,0.0,171.6,20.4,2023-07-09
14th Star Baseline,16,114.4,0.0,114.4,13.6,2023-07-09
Veggie Nachos,4,36.04,0.0,36.04,3.96,2023-07-09
Veggie Salad,3,27.03,0.0,27.03,2.97,2023-07-09
Chicken Salad,8,63.08,9.0,72.08,6.92,2023-07-09
Pork Tacos,2,14.42,0.0,14.42,1.58,2023-07-09
Chicken Nachos,18,148.68,13.5,162.18,16.32,2023-07-09
Pork Nachos,1,9.01,0.0,9.01,0.99,2023-07-09
Pork Salad,3,27.03,0.0,27.03,2.97,2023-07-09
Veggie Tacos,1,7.21,0.0,7.21,0.79,2023-07-09
Chips,2,9.02,0.0,9.02,0.98,2023-07-09
Chicken Tacos,9,64.89,0.0,64.89,7.11,2023-07-09
Cotton Candy,3,10.83,0.0,10.83,1.17,2023-07-09
Devil's Backbone Margarita,1,10.72,0.0,10.72,1.28,2023-07-09
Fries,11,44.66,0.0,44.66,4.84,2023-07-09
Barefoot Cabernet Sauvignon,1,7.15,0.0,7.15,0.85,2023-07-09
Finnish Long Drink,1,8.93,0.0,8.93,1.07,2023-07-09
Bottled Water,7,14.69,1.13,15.82,1.56,2023-07-09
Yellow Scoop,2,0.0,0.0,0.0,0.0,2023-07-09
Cotton Candy,8,27.07,1.81,28.88,2.93,2023-07-09
Bottled Soda,28,88.46,0.0,88.46,9.54,2023-07-09
Hamburger,3,20.25,0.0,20.25,2.25,2023-07-09
Bottled Water,12,27.12,0.0,27.12,2.88,2023-07-09
Double Cheeseburger,4,45.04,0.0,45.04,4.96,2023-07-09
Cheeseburger,5,32.45,3.6,36.05,3.55,2023-07-09
Boneless Wings & Fries,12,93.27,4.05,97.32,10.23,2023-07-09
Loaded Fries Chicken,3,27.03,0.0,27.03,2.97,2023-07-09
Jeezum Crow tee,1,18.9,8.09,26.99,0.0,2023-07-09
BBQ Chicken Sandwich,1,7.21,0.0,7.21,0.79,2023-07-09
Hot Dog & Soda,1,0.0,0.0,0.0,0.0,2023-07-09
Deep River Chips,3,8.13,0.0,8.13,0.87,2023-07-09
Movie Candy,7,25.27,0.0,25.27,2.73,2023-07-09
Hot Dog,20,67.6,0.0,67.6,7.4,2023-07-09
"Footlong ""Monster"" Dog",4,19.8,0.0,19.8,2.2,2023-07-09
Italian Sausage w/ Peppers & Onions,3,21.63,0.0,21.63,2.37,2023-07-09
Fries,25,101.5,0.0,101.5,11.0,2023-07-09
BBQ Pork Sandwich,1,7.21,0.0,7.21,0.79,2023-07-09
14th Star Mexican Lager DFT,3,21.45,0.0,21.45,2.55,2023-07-09
Cutwater Tiki Rum Punch,4,42.88,0.0,42.88,5.12,2023-07-09
Long Trail Blackberry DFT,50,357.5,0.0,357.5,42.5,2023-07-09
Bottled Water,19,42.94,0.0,42.94,4.56,2023-07-09
Nutrl Watermelon Vodka,9,80.37,0.0,80.37,9.63,2023-07-09
Bud Light DFT,6,32.16,0.0,32.16,3.84,2023-07-09
Popcorn,2,7.22,0.0,7.22,0.78,2023-07-09
Fried Dough w/ Chicken,2,18.02,0.0,18.02,1.98,2023-07-09
Bottled Water,17,38.41,0.0,38.41,4.09,2023-07-09
Cutwater Tiki Rum Punch,1,10.72,0.0,10.72,1.28,2023-07-09
Stella Can,1,7.15,0.0,7.15,0.85,2023-07-09
Dippin Dots,61,378.18,6.28,384.46,41.82,2023-07-09
Deep River Chips,3,8.11,0.0,8.11,0.89,2023-07-09
Cotton Candy,5,18.04,0.0,18.04,1.96,2023-07-09
Movie Candy,6,21.66,0.0,21.66,2.34,2023-07-09
Popcorn,4,14.44,0.0,14.44,1.56,2023-07-09
Mini Corn Dogs,5,31.52,0.0,31.52,3.48,2023-07-09
Mozz Sticks,11,66.16,3.14,69.3,7.34,2023-07-09
Onion Rings,5,28.36,3.14,31.5,3.14,2023-07-09
Fried Pickles,8,47.28,3.14,50.42,5.22,2023-07-09
Powerade,1,3.16,0.0,3.16,0.34,2023-07-09
Bottled Water,12,27.08,0.0,27.08,2.92,2023-07-09
Whole Pickle,1,2.71,0.0,2.71,0.29,2023-07-09
Bottled Soda,12,37.9,0.0,37.9,4.1,2023-07-09
Strawberry Lemon Rose,1,8.04,0.0,8.04,0.96,2023-07-09
Cutwater Tiki Rum Punch,2,21.44,0.0,21.44,2.56,2023-07-09
Fiddlehead Wit DFT,1,7.15,0.0,7.15,0.85,2023-07-09
Barefoot Pinot Noir,3,21.45,0.0,21.45,2.55,2023-07-09
ZG Lake Monster Light DFT,2,10.72,0.0,10.72,1.28,2023-07-09
14th Star Mexican Lager DFT,5,35.75,0.0,35.75,4.25,2023-07-09
White Claw Mango,3,21.45,0.0,21.45,2.55,2023-07-09
Nutrl Watermelon Vodka,10,89.3,0.0,89.3,10.7,2023-07-09
Bud Light DFT,1,5.36,0.0,5.36,0.64,2023-07-09
Rescue Club Pils N/A,1,7.21,0.0,7.21,0.79,2023-07-09
Deep River Chips,1,2.71,0.0,2.71,0.29,2023-07-09
Finnish Long Drink,1,8.93,0.0,8.93,1.07,2023-07-09
Citizen Cider DFT,3,21.45,0.0,21.45,2.55,2023-07-09
Poutine w/ Chicken,7,82.04,0.0,82.04,8.96,2023-07-09
Season Ticket Holder Soda,13,11.7,0.0,11.7,1.3,2023-07-09
Cracker Jacks,3,13.53,0.0,13.53,1.47,2023-07-09
Fried Dough,22,138.6,0.0,138.6,15.4,2023-07-09
Fountain Soda,29,78.57,0.0,78.57,8.43,2023-07-09
Boneless Wings & Fries,6,48.65,0.0,48.65,5.35,2023-07-09
Poutine,4,36.04,0.0,36.04,3.96,2023-07-09
Peanuts,2,7.22,0.0,7.22,0.78,2023-07-09
Diet Coke BTL,2,4.74,1.58,6.32,0.51,2023-07-09
Movie Candy,7,23.46,1.81,25.27,2.54,2023-07-09
ZG Conehead IPA DFT,4,28.6,0.0,28.6,3.4,2023-07-09
Bottled Water,10,22.6,0.0,22.6,2.4,2023-07-09
Kids Fun Zone,2,9.18,0.0,9.18,0.82,2023-07-09
Deep River Chips,1,2.71,0.0,2.71,0.29,2023-07-09
Peanuts,1,3.61,0.0,3.61,0.39,2023-07-09
Rescue Club IPA N/A,1,7.21,0.0,7.21,0.79,2023-07-09
Fiddlehead IPA DFT,26,185.9,0.0,185.9,22.1,2023-07-09
Fanta BTL,1,3.16,0.0,3.16,0.34,2023-07-09
Nutrl Watermelon Vodka,7,62.51,0.0,62.51,7.49,2023-07-09
Strawberry Lemon Rose,1,8.04,0.0,8.04,0.96,2023-07-09
14th Star Mexican Lager DFT,3,21.45,0.0,21.45,2.55,2023-07-09
Coke BTL,1,1.58,1.58,3.16,0.17,2023-07-09
Lemonade BTL,2,6.32,0.0,6.32,0.68,2023-07-09
Fiddlehead Wit DFT,3,21.45,0.0,21.45,2.55,2023-07-09
Devil's Backbone Margarita,3,32.16,0.0,32.16,3.84,2023-07-09
ZG Lake Monster Light DFT,7,37.52,0.0,37.52,4.48,2023-07-09
14th Star Baseline,7,50.05,0.0,50.05,5.95,2023-07-09
Large Ice Cream,45,237.45,29.42,266.87,26.3,2023-07-09
Loaded Fries Pork,2,18.02,0.0,18.02,1.98,2023-07-09
Toddler Boisterous Tee- Green- 5/6,1,18.99,0.0,18.99,0.0,2023-07-09
Get Off My Tail,1,5.99,0.0,5.99,0.66,2023-07-09
Maple Kings Stretch Fit Cap- Dark Navy- L,1,29.99,0.0,29.99,0.0,2023-07-09
Small Baseball Card Pack,11,32.89,0.0,32.89,3.63,2023-07-09
Champ Sticker,5,10.0,0.0,10.0,1.1,2023-07-09
Maple Kings Sticker,1,2.0,0.0,2.0,0.22,2023-07-09
Ladie's Racerback Tank Top- Midnight Blue- M,1,29.99,0.0,29.99,0.0,2023-07-09
Champ Pin,2,12.5,0.0,12.5,1.36,2023-07-09
Primary Logo Tee- Mauve- M,1,26.99,0.0,26.99,0.0,2023-07-09
VT Expos Stretch Fit Cap- L,1,29.99,0.0,29.99,0.0,2023-07-09
White Souvenir Baseball,9,72.0,0.0,72.0,7.92,2023-07-09
Primary Logo Tee- Navy- S,1,25.99,0.0,25.99,0.0,2023-07-09
OC Baseline Classic Champ Cap- Navy,5,110.35,9.6,119.95,0.0,2023-07-09
6 Sticker Pack,3,18.0,0.0,18.0,1.98,2023-07-09
Vermont Expos Tee- Vintage Black- L,1,26.99,0.0,26.99,0.0,2023-07-09
Maple Kings Youth Bolt Snapback,2,37.98,0.0,37.98,0.0,2023-07-09
VLM Away Onfield Stretch Fit Cap- S,1,29.99,0.0,29.99,0.0,2023-07-09
Small Ice Cream,84,326.58,10.37,336.95,35.42,2023-07-09
Uncle Charlie cap,1,20.29,8.7,28.99,0.0,2023-07-09
Document Tee- Vintage Smoke- XL,1,26.99,0.0,26.99,0.0,2023-07-09
Tie Dyed Souvenir Baseball,4,32.0,0.0,32.0,3.52,2023-07-09
Cross Bone Cap,3,81.17,5.8,86.97,0.0,2023-07-09
Champ Logo Tee Vintage Navy- S,1,25.99,0.0,25.99,0.0,2023-07-09
Hot Dog Tee- Vintage Yellow- M,1,25.99,0.0,25.99,0.0,2023-07-09
Kelly Green Mini Bat,3,26.97,0.0,26.97,2.97,2023-07-09
Lake Monsters Plastic Cup,4,14.36,1.6,15.96,1.58,2023-07-09
VLM Away Onfield Stretch Fit Cap- L,1,29.99,0.0,29.99,0.0,2023-07-09
Original Clean-Up,1,28.99,0.0,28.99,0.0,2023-07-09
VLM Foam Claw,8,71.92,0.0,71.92,7.92,2023-07-09
Home Plate Scoop Tee - XL,1,22.39,9.6,31.99,0.0,2023-07-09
Maple Kings Stretch Fit Cap- Dark Navy- M,1,29.99,0.0,29.99,0.0,2023-07-09
Gear Tee- Heather Kelly Green- M,1,28.99,0.0,28.99,0.0,2023-07-09
Pen,1,1.99,0.0,1.99,0.22,2023-07-09
Home Plate Scoop Tee-S,1,25.6,6.39,31.99,0.0,2023-07-09
VLM Away Onfield Stretch Fit Cap- M,1,29.99,0.0,29.99,0.0,2023-07-09
Champ Play Ball,1,4.99,0.0,4.99,0.55,2023-07-09
Document Tee- Vintage Smoke- S,1,26.99,0.0,26.99,0.0,2023-07-09
VLM Home Onfield Stretch Fit Cap- M,2,59.98,0.0,59.98,0.0,2023-07-09
VLM Home Onfield Stretch Fit Cap- L,3,89.97,0.0,89.97,0.0,2023-07-09
OC Mountain Patch Cap,2,55.08,2.9,57.98,0.0,2023-07-09
Replica twill cap,1,23.99,0.0,23.99,0.0,2023-07-09
Beer. Baseball. Tee- Vintage Navy- 3XL,1,18.19,7.8,25.99,0.0,2023-07-09
Glow In The Dark Souvenir Baseball,2,16.0,0.0,16.0,1.76,2023-07-09
VT State Patch,2,6.8,1.2,8.0,0.75,2023-07-09
$0.25 Hot Dog Hysteria Replica Jersey- S,1,80.0,0.0,80.0,0.0,2023-07-09
Soft Champ Logo Baseball,4,23.96,0.0,23.96,2.64,2023-07-09
Youth $0.25 Hot Dog Tee- Royal Blue- M,1,21.99,0.0,21.99,0.0,2023-07-09
VLM Home Onfield Stretch Fit Cap- XS,1,29.99,0.0,29.99,0.0,2023-07-09
Champ Plush Doll,15,224.85,0.0,224.85,24.75,2023-07-09
Maple Syrup,1,3.0,0.0,3.0,0.33,2023-07-09
3/4 Raglan Expos Tee- Gray/Navy- M,1,26.99,0.0,26.99,0.0,2023-07-09
Toddler Boisterous Tee- Green- 4T,1,18.99,0.0,18.99,0.0,2023-07-09
Toddler Boisterous Tee- Green- 2T,1,18.99,0.0,18.99,0.0,2023-07-09
Vermont Lake Monsters Shield,1,3.49,1.5,4.99,0.38,2023-07-09
Powerade,10,31.6,0.0,31.6,3.4,2023-07-09
802 Bar,4,14.44,0.0,14.44,1.56,2023-07-09
Movie Candy,4,14.44,0.0,14.44,1.56,2023-07-09
Popcorn,13,46.92,0.0,46.92,5.08,2023-07-09
Bottled Water,72,162.57,0.0,162.57,17.43,2023-07-09
Season Ticket Holder Soda,23,20.7,0.0,20.7,2.3,2023-07-09
Side Nacho Cheese,1,0.9,0.0,0.9,0.1,2023-07-09
"Footlong ""Monster"" Dog",22,110.73,0.0,110.73,12.27,2023-07-09
Soft Pretzel,47,176.37,9.47,185.84,19.13,2023-07-09
Cheeseburger,41,287.48,10.8,298.28,31.52,2023-07-09
Veggie Burger,17,104.89,3.14,108.03,11.61,2023-07-09
Double Cheeseburger,1,11.26,0.0,11.26,1.24,2023-07-09
Hamburger,16,104.64,3.37,108.01,11.61,2023-07-09
Iced Coffee,2,5.42,0.0,5.42,0.58,2023-07-09
Rescue Club Pils N/A,5,36.05,0.0,36.05,3.95,2023-07-14
Fiddlehead IPA DFT,95,679.25,0.0,679.25,80.75,2023-07-14
White Claw Mango,15,107.25,0.0,107.25,12.75,2023-07-14
Barefoot Pinot Grigio,5,35.75,0.0,35.75,4.25,2023-07-14
Gear Tee- Heather Kelly Green- S,1,28.99,0.0,28.99,0.0,2023-07-14
von Trapp Helles DFT,17,121.55,0.0,121.55,14.45,2023-07-14
Lemon Sorbet,1,3.61,0.0,3.61,0.39,2023-07-14
Citizen Cider DFT,36,257.4,0.0,257.4,30.6,2023-07-14
ZG Lake Monster Light DFT,72,385.92,0.0,385.92,46.08,2023-07-14
Nutrl Watermelon Vodka,8,71.44,0.0,71.44,8.56,2023-07-14
Barefoot Chardonnay,3,21.45,0.0,21.45,2.55,2023-07-14
Sharpies,4,8.0,0.0,8.0,0.88,2023-07-14
White/Silver Metallic Souvenir Baseball,2,16.0,0.0,16.0,1.76,2023-07-14
Maple Kings Stretch Fit Cap- Light Blue-  XS,1,29.99,0.0,29.99,0.0,2023-07-14
802 Tee- Blue- L,4,91.96,0.0,91.96,0.0,2023-07-14
OC Walk Off Diamond Patch Black Cap,2,53.98,0.0,53.98,0.0,2023-07-14
Youth Champ Logo Tee- Ash- XS,1,21.99,0.0,21.99,0.0,2023-07-14
Vermont Lake Monsters Shield,1,4.99,0.0,4.99,0.55,2023-07-14
Youth Primary Logo Tee Ash- M,1,21.99,0.0,21.99,0.0,2023-07-14
Toddler daisy cap,1,18.99,0.0,18.99,0.0,2023-07-14
Bottled Water,129,291.27,0.0,291.27,31.23,2023-07-14
VLM Away Onfield Stretch Fit Cap- S,1,29.99,0.0,29.99,0.0,2023-07-14
VLM #1 Foam Finger- Green,1,5.99,0.0,5.99,0.66,2023-07-14
Youth Primary Logo Tee Royal- S,1,21.99,0.0,21.99,0.0,2023-07-14
Champ Logo Tee Vintage Black- S,1,25.99,0.0,25.99,0.0,2023-07-14
VLM Home Onfield Stretch Fit Cap- S,1,29.99,0.0,29.99,0.0,2023-07-14
New Duds Maple Kings Primary Tee- Espresso- XL,2,51.98,0.0,51.98,0.0,2023-07-14
Finnish Long Drink,3,26.79,0.0,26.79,3.21,2023-07-14
Stella Can,17,121.55,0.0,121.55,14.45,2023-07-14
Devil's Backbone Margarita,5,53.6,0.0,53.6,6.4,2023-07-14
Champ Plush Doll (standing),3,44.97,0.0,44.97,4.95,2023-07-14
Italian Sausage w/ Peppers & Onions,41,295.56,0.0,295.56,32.44,2023-07-14
Hot Coffee,5,13.55,0.0,13.55,1.45,2023-07-14
Whole Pickle,13,35.21,0.0,35.21,3.79,2023-07-14
Mozz Sticks,11,63.02,6.28,69.3,6.98,2023-07-14
Cotton Candy,6,21.66,0.0,21.66,2.34,2023-07-14
Onion Rings,7,40.96,3.14,44.1,4.54,2023-07-14
Peanuts,10,36.1,0.0,36.1,3.9,2023-07-14
Fried Pickles,10,59.86,3.14,63.0,6.64,2023-07-14
Bottled Water,10,22.6,0.0,22.6,2.4,2023-07-14
14th Star Baseline,10,71.5,0.0,71.5,8.5,2023-07-14
Bottled Water,12,27.12,0.0,27.12,2.88,2023-07-14
Powerade,2,6.32,0.0,6.32,0.68,2023-07-14
ZG Conehead IPA DFT,43,307.45,0.0,307.45,36.55,2023-07-14
Popcorn,6,21.66,0.0,21.66,2.34,2023-07-14
14th Star Mexican Lager DFT,12,85.8,0.0,85.8,10.2,2023-07-14
Bud Light DFT,22,117.92,0.0,117.92,14.08,2023-07-14
Cracker Jacks,4,18.04,0.0,18.04,1.96,2023-07-14
Cutwater Tiki Rum Punch,14,150.08,0.0,150.08,17.92,2023-07-14
Rescue Club IPA N/A,1,7.21,0.0,7.21,0.79,2023-07-14
Kona Golden Ale DFT,26,139.36,0.0,139.36,16.64,2023-07-14
Good Measure Cream Ale DFT,18,96.48,0.0,96.48,11.52,2023-07-14
Budweiser DFT,11,58.96,0.0,58.96,7.04,2023-07-14
Barefoot Cabernet Sauvignon,4,28.6,0.0,28.6,3.4,2023-07-14
Bottled Soda,15,47.38,0.0,47.38,5.12,2023-07-14
Whole Pickle,5,13.55,0.0,13.55,1.45,2023-07-14
Mini Corn Dogs,14,88.2,0.0,88.2,9.8,2023-07-14
Peanuts,16,57.73,0.0,57.73,6.27,2023-07-14
Veggie Burger,11,69.32,0.0,69.32,7.68,2023-07-14
802 Bar,10,36.09,0.0,36.09,3.91,2023-07-14
Popcorn,19,68.59,0.0,68.59,7.41,2023-07-14
Movie Candy,3,10.82,0.0,10.82,1.18,2023-07-14
Double Hamburger,3,32.43,0.0,32.43,3.57,2023-07-14
Bottled Soda,157,491.18,4.74,495.92,53.07,2023-07-14
Soft Pretzel,67,252.1,10.37,262.47,27.4,2023-07-14
Cracker Jacks,13,56.38,2.25,58.63,6.12,2023-07-14
Cotton Candy,18,64.97,0.0,64.97,7.03,2023-07-14
Season Ticket Holder Soda,35,31.5,0.0,31.5,3.5,2023-07-14
"Footlong ""Monster"" Dog",36,175.79,2.47,178.26,19.46,2023-07-14
Garden Salad,2,14.42,0.0,14.42,1.58,2023-07-14
Hot Dog,140,469.9,6.75,476.65,51.59,2023-07-14
Deep River Chips,21,56.89,0.0,56.89,6.11,2023-07-14
Hamburger,17,104.66,10.11,114.77,11.59,2023-07-14
Powerade,13,41.08,0.0,41.08,4.42,2023-07-14
Cheeseburger,51,365.42,3.6,369.02,40.08,2023-07-14
Popcorn,5,18.05,0.0,18.05,1.95,2023-07-14
Movie Candy,2,7.22,0.0,7.22,0.78,2023-07-14
Long Trail Blackberry DFT,35,250.25,0.0,250.25,29.75,2023-07-14
VT Expos Sticker,1,2.0,0.0,2.0,0.22,2023-07-14
VLM #1 Foam Finger- Blue,2,11.98,0.0,11.98,1.32,2023-07-14
Hot Dog Trucker- Royal,1,24.99,0.0,24.99,0.0,2023-07-14
Green/Blue Plaid Baseball,2,16.0,0.0,16.0,1.76,2023-07-14
Champ Logo Hoodie- Royal-XL,1,49.99,0.0,49.99,0.0,2023-07-14
Small Baseball Card Pack,9,26.91,0.0,26.91,2.97,2023-07-14
VLM Away Onfield Stretch Fit Cap- L,9,269.91,0.0,269.91,0.0,2023-07-14
Baseball Brim Cap,1,18.99,0.0,18.99,0.0,2023-07-14
Replica twill cap,2,47.98,0.0,47.98,0.0,2023-07-14
Home Plate Scoop Tee-S,1,31.99,0.0,31.99,0.0,2023-07-14
OC Baseline Classic Expos Cap- Royal,3,71.97,0.0,71.97,0.0,2023-07-14
Champ Logo Trucker- Khaki,2,49.98,0.0,49.98,0.0,2023-07-14
OC Mountain Patch Cap,1,28.99,0.0,28.99,0.0,2023-07-14
Youth Primary Logo Tee Royal-M,1,21.99,0.0,21.99,0.0,2023-07-14
Champ Sticker,18,36.0,0.0,36.0,3.96,2023-07-14
Maple King Pint glass,2,23.98,0.0,23.98,2.64,2023-07-14
VT Expos Stretch Fit Cap- L,1,29.99,0.0,29.99,0.0,2023-07-14
VLM Foam Claw,5,44.95,0.0,44.95,4.95,2023-07-14
Large Champ Logo Stretch Fit Cap- Navy- XXS,1,29.99,0.0,29.99,0.0,2023-07-14
OC Baseline Classic Hot Dog Cap- Royal,1,23.99,0.0,23.99,0.0,2023-07-14
Gear Tee- Heather Kelly Green- L,1,28.99,0.0,28.99,0.0,2023-07-14
Primary Logo Tee- Navy- L,3,77.97,0.0,77.97,0.0,2023-07-14
Replica Tie-Dye Jersey- L,2,160.0,0.0,160.0,0.0,2023-07-14
Soft Champ Logo Baseball,3,17.97,0.0,17.97,1.98,2023-07-14
Kelly Green Mini Bat,5,44.95,0.0,44.95,4.95,2023-07-14
White Souvenir Baseball,14,112.0,0.0,112.0,12.32,2023-07-14
Large Baseball Card Pack,3,29.97,0.0,29.97,3.3,2023-07-14
Champ Tattoo,8,4.0,0.0,4.0,0.4,2023-07-14
VT Champ Logo Earrings- White,1,10.0,0.0,10.0,1.1,2023-07-14
Natural Mini Bat,4,35.96,0.0,35.96,3.96,2023-07-14
VLM Lanyard,2,13.5,0.0,13.5,1.5,2023-07-14
Sorry Baseball tee,1,26.99,0.0,26.99,0.0,2023-07-14
Original Clean-Up,3,86.97,0.0,86.97,0.0,2023-07-14
Nike Therma Hoodie- S,1,65.0,0.0,65.0,0.0,2023-07-14
VLM Tote Bag,6,18.0,0.0,18.0,1.98,2023-07-14
Blue Mini Bat,5,44.95,0.0,44.95,4.95,2023-07-14
Champ Logo 3/4 Raglan Tee- L,3,75.57,5.4,80.97,0.0,2023-07-14
Jeezum Crow tee,5,134.95,0.0,134.95,0.0,2023-07-14
Champ Logo Hoodie- Royal-M,1,49.99,0.0,49.99,0.0,2023-07-14
VT Expos Logo Baseball,1,8.0,0.0,8.0,0.88,2023-07-14
Maple Kings Snapback Cap,1,24.99,0.0,24.99,0.0,2023-07-14
All-Star Hoodie Gray- XL,1,49.99,0.0,49.99,0.0,2023-07-14
Champ Logo Tee Vintage Navy- L,2,51.98,0.0,51.98,0.0,2023-07-14
OC Baseline Classic Champ Cap- Navy,2,43.18,4.8,47.98,0.0,2023-07-14
Infant Alphabet Mascot Tee- 12 mo,1,15.99,0.0,15.99,0.0,2023-07-14
Youth Champ Logo 3/4 Raglan Tee- M,1,25.99,0.0,25.99,0.0,2023-07-14
Champ Logo 3/4 Raglan Tee- M,1,26.99,0.0,26.99,0.0,2023-07-14
Primary Logo Tee- Mauve- L,1,26.99,0.0,26.99,0.0,2023-07-14
Champ Logo Hoodie- Navy- M,1,49.99,0.0,49.99,0.0,2023-07-14
VLM Dog Collar- L,1,17.99,0.0,17.99,1.98,2023-07-14
Primary Logo Tee- Ash- S,1,26.99,0.0,26.99,0.0,2023-07-14
Plastic hard hat - S,1,3.0,0.0,3.0,0.33,2023-07-14
Dig In Bracelet,4,20.0,0.0,20.0,2.2,2023-07-14
Champ Logo Tee Vintage Black- M,2,51.98,0.0,51.98,0.0,2023-07-14
Gear Tee- Heather Kelly Green- M,1,28.99,0.0,28.99,0.0,2023-07-14
Champ Logo Tee Vintage Navy- XL,1,25.99,0.0,25.99,0.0,2023-07-14
Maple Kings Stretch Fit Cap- Dark Navy- XL,1,29.99,0.0,29.99,0.0,2023-07-14
Retro Staple Crewneck- Heather White- 2XL,1,38.99,0.0,38.99,0.0,2023-07-14
Foam hotdog Hats,2,19.98,0.0,19.98,2.2,2023-07-14
Large Champ Logo Stretch Fit Cap- Navy- L,2,59.98,0.0,59.98,0.0,2023-07-14
Primary Logo Tee- Mauve- XL,2,53.98,0.0,53.98,0.0,2023-07-14
Pen,4,7.96,0.0,7.96,0.88,2023-07-14
Plastic hard hat - L,2,10.0,0.0,10.0,1.1,2023-07-14
Clean-Up Cap VT State,1,23.2,5.79,28.99,0.0,2023-07-14
Youth $0.25 Hot Dog Tee- Vintage Yellow- L,1,21.99,0.0,21.99,0.0,2023-07-14
VT State Patch,2,8.0,0.0,8.0,0.88,2023-07-14
Home Plate Scoop Tee - L,2,63.98,0.0,63.98,0.0,2023-07-14
Replica Tie-Dye Jersey- XL,4,320.0,0.0,320.0,0.0,2023-07-14
Glow In The Dark Souvenir Baseball,11,86.4,1.6,88.0,9.51,2023-07-14
VLM Away Onfield Stretch Fit Cap- XL,2,59.98,0.0,59.98,0.0,2023-07-14
Cross Bone Cap,5,144.95,0.0,144.95,0.0,2023-07-14
$0.25 Hot Dog Hysteria Replica Jersey- L,1,80.0,0.0,80.0,0.0,2023-07-14
Tie Dyed Souvenir Baseball,2,16.0,0.0,16.0,1.76,2023-07-14
Champ Pin,4,23.75,1.25,25.0,2.59,2023-07-14
Youth Primary Logo Tee Pink-S,2,43.98,0.0,43.98,0.0,2023-07-14
Iced Coffee,3,8.11,0.0,8.11,0.89,2023-07-14
Vermont Expos Tee- Vintage Black- XL,2,53.98,0.0,53.98,0.0,2023-07-14
Champ Logo Tee Vintage Navy- M,3,77.97,0.0,77.97,0.0,2023-07-14
Youth replicia twill hat,5,94.95,0.0,94.95,0.0,2023-07-14
OC Camo Mesh Trucker,10,239.9,0.0,239.9,0.0,2023-07-14
Replica Tie-Dye Jersey- M,2,160.0,0.0,160.0,0.0,2023-07-14
802vtrucker cap,1,24.99,0.0,24.99,0.0,2023-07-14
VLM Away Onfield Stretch Fit Cap- M,4,119.96,0.0,119.96,0.0,2023-07-14
All-Star Trucker Royal,1,24.99,0.0,24.99,0.0,2023-07-14
Champ Plush Doll,7,101.93,3.0,104.93,11.22,2023-07-14
Double Cheeseburger,4,45.04,0.0,45.04,4.96,2023-07-14
